# time [s],Power [W]
201.75,0.770009991
202,0.783338853
202.25,1.110450644
202.5,1.137987779
202.75,1.165555065
203,1.193153102
203.25,1.923316067
203.5,1.994439626
203.75,2.065655808
204,2.136967387
204.25,1.965512198
204.5,2.021834118
204.75,2.078235838
205,2.134719245
205.25,2.550719034
205.5,2.628086181
205.75,2.705576294
206,2.783192493
206.25,3.366755571
206.5,3.475135596
206.75,3.583709866
207,3.692483666
207.25,3.346770905
207.5,3.431049177
207.75,3.515489802
208,3.60009627
208.25,3.313522185
208.5,3.381815732
208.75,3.45024798
209,3.518821381
209.25,4.658691652
209.5,4.776174
209.75,4.893923273
210,5.011945284
210.25,3.810744451
210.5,3.875217855
210.75,3.939839476
211,4.004611471
211.25,3.143585169
211.5,3.181455697
211.75,3.219411299
212,3.257452847
212.25,2.655036302
212.5,2.679043449
212.75,2.703102143
213,2.727212775
213.25,2.421885292
213.5,2.440168055
213.75,2.458488756
214,2.476847631
214.25,3.172658362
214.5,3.203819242
214.75,3.235052743
215,3.266359463
215.25,4.00240087
215.5,4.049871721
215.75,4.097463442
216,4.14517725
216.25,4.561776579
216.5,4.619003129
216.75,4.676383592
217,4.733919613
217.25,4.40601355
217.5,4.454540273
217.75,4.503198113
218,4.551988286
218.25,4.001160365
218.5,4.037652126
218.75,4.074240046
219,4.110924852
219.25,3.325176915
219.5,3.348016084
219.75,3.370910773
220,3.393861288
220.25,2.787634636
220.5,2.802219609
220.75,2.816836416
221,2.831485185
221.25,1.783399226
221.5,1.787929073
221.75,1.792465282
222,1.797007864
222.25,1.801556831
222.5,1.806112193
222.75,1.810673963
223,1.815242152
223.25,1.604655239
223.5,1.607789617
223.75,1.610927621
224,1.614069257
224.25,1.833579319
224.5,1.838179772
224.75,1.842786711
225,1.847400148
225.25,2.288558879
225.5,2.296704345
225.75,2.304864534
226,2.313039484
226.25,2.100453097
226.5,2.106787818
226.75,2.113132862
227,2.119488249
227.25,2.125854002
227.5,2.132230144
227.75,2.138616697
228,2.145013682
228.25,1.926833793
228.5,1.931566138
228.75,1.936305196
229,1.94105098
229.25,1.719811713
229.5,1.723079661
229.75,1.726351408
230,1.729626959
230.25,1.052521446
230.5,1.052521446
230.75,1.052521446
231,1.052521446
231.25,0.373938008
231.5,0.372463886
231.75,0.370993564
232,0.369527035
232.25,-1.278150832
232.5,-1.273539521
232.75,-1.268880079
233,-1.264172771
233.25,-2.297224163
233.5,-2.280215238
233.75,-2.263095594
234,-2.245866203
234.25,-2.086166814
234.5,-2.070898534
234.75,-2.055533747
235,-2.040073285
235.25,-1.060635174
235.5,-1.056521555
235.75,-1.052370523
236,-1.048182289
236.25,-0.232179681
236.5,-0.232521352
236.75,-0.232853827
237,-0.233177133
237.25,-0.50134045
237.5,-0.50064827
237.75,-0.499939958
238,-0.499215578
238.25,-1.416280262
238.5,-1.40765131
238.75,-1.398966905
239,-1.390227454
239.25,-2.7649092
239.5,-2.729935051
239.75,-2.694801017
240,-2.659509231
240.25,-2.859568427
240.5,-2.817385146
240.75,-2.77502671
241,-2.732495782
241.25,-1.805881397
241.5,-1.786240782
241.75,-1.76651546
242,-1.746706404
242.25,-2.25288206
242.5,-2.219339208
242.75,-2.185670827
243,-2.151878813
243.25,-2.01987524
243.5,-1.988849101
243.75,-1.957714124
244,-1.926471987
244.25,-1.803472667
244.5,-1.774908842
244.75,-1.746251091
245,-1.717500893
245.25,-2.536022686
245.5,-2.47189108
245.75,-2.407580919
246,-2.343096563
246.25,-2.726072912
246.5,-2.633432674
246.75,-2.540569623
247,-2.447490956
247.25,-1.712192082
247.5,-1.662539725
247.75,-1.612778045
248,-1.562910003
248.25,-0.584284253
248.5,-0.576082313
248.75,-0.567860126
249,-0.55961796
249.25,-0.102366489
249.5,-0.101920367
249.75,-0.10147136
250,-0.101019482
250.25,-0.320679932
250.5,-0.317391306
250.75,-0.314093606
251,-0.31078692
251.25,-0.411782845
251.5,-0.406213475
251.75,-0.400631137
252,-0.395035991
252.25,-0.142674011
252.5,-0.141662117
252.75,-0.140646512
253,-0.139627224
253.25,0.222481834
253.5,0.222481834
253.75,0.222481834
254,0.222481834
254.25,-0.042229086
254.5,-0.04209233
254.75,-0.041953965
255,-0.041813997
255.25,-0.644109097
255.5,-0.628373443
255.75,-0.612610179
256,-0.596819903
256.25,-0.375285664
256.5,-0.368208853
256.75,-0.361119298
257,-0.354017209
257.25,0.709855513
257.5,0.720950951
257.75,0.732056784
258,0.743173141
258.25,1.798355134
258.5,1.869322405
258.75,1.940377422
259,2.011522958
259.25,2.236868954
259.5,2.319316178
259.75,2.401879199
260,2.484561509
260.25,2.479409653
260.5,2.556666058
260.75,2.634042553
261,2.711542255
261.25,2.691006022
261.5,2.763266923
261.75,2.835650163
262,2.908158514
262.25,3.523639671
262.5,3.625987889
262.75,3.728529837
263,3.831270304
263.25,4.909248947
263.5,5.070375169
263.75,5.231847057
264,5.393674345
264.25,5.280473581
264.5,5.427265785
264.75,5.574402252
265,5.72189126
265.25,4.811224192
265.5,4.91026204
265.75,5.009542683
266,5.109070446
266.25,3.437462541
266.5,3.479688618
266.75,3.522013635
267,3.564438628
267.25,4.109307949
267.5,4.165362328
267.75,4.221557479
268,4.277895044
268.25,3.280994492
268.5,3.312409683
268.75,3.343899569
269,3.375464751
269.25,3.407105825
269.5,3.438823392
269.75,3.470618049
270,3.502490396
270.25,0.936210979
270.5,0.936940774
270.75,0.937670918
271,0.93840141
271.25,0.018692652
271.5,0.017775702
271.75,0.016864309
272,0.01595846
272.25,0.19714246
272.5,0.196170208
272.75,0.195201059
273,0.194235008
273.25,-1.465375901
273.5,-1.454597407
273.75,-1.443759731
274,-1.432863371
274.25,-2.939325497
274.5,-2.893489575
274.75,-2.847468417
275,-2.801264981
275.25,-2.646927104
275.5,-2.603894681
275.75,-2.56070042
276,-2.517346983
276.25,-3.272266535
276.5,-3.196372568
276.75,-3.120231199
277,-3.043848088
277.25,-2.877766467
277.5,-2.805451372
277.75,-2.732923534
278,-2.660188154
278.25,-4.081514125
278.5,-3.898357669
278.75,-3.714757771
279,-3.530733535
279.25,-2.521451695
279.5,-2.417638002
279.75,-2.313607426
280,-2.209368329
280.25,-0.50704496
280.5,-0.50025011
280.75,-0.493438534
281,-0.48661044
281.25,2.518281896
281.5,2.601138008
281.75,2.684121814
282,2.767236805
282.25,3.833097267
282.5,3.984428108
282.75,4.136029834
283,4.287911429
283.25,4.326110413
283.5,4.470850752
283.75,4.615881097
284,4.761209724
284.25,5.292601722
284.5,5.462442139
284.75,5.632663383
285,5.803275977
285.25,5.110859786
285.5,5.236057985
285.75,5.361556666
286,5.487362203
286.25,5.613480972
286.5,5.739919349
286.75,5.866683707
287,5.993780422
287.25,6.12121587
287.5,6.248996425
287.75,6.377128462
288,6.505618357
288.25,6.634472484
288.5,6.763697219
288.75,6.893298937
289,7.023284013
289.25,4.426429952
289.5,4.475011734
289.75,4.523725144
290,4.572571401
290.25,2.025209923
290.5,2.032886549
290.75,2.040576621
291,2.048280177
291.25,-0.232179681
291.5,-0.232521352
291.75,-0.232853827
292,-0.233177133
292.25,-0.902087747
292.5,-0.898869527
292.75,-0.895620898
293,-0.89234202
293.25,-0.497334734
293.5,-0.496554602
293.75,-0.495758681
294,-0.494947033
294.25,-0.107770385
294.5,-0.108273582
294.75,-0.10877069
295,-0.109261725
295.25,0.587514159
295.5,0.586972512
295.75,0.586431219
296,0.58589028
296.25,0.959738064
296.5,0.960479093
296.75,0.961220476
297,0.961962213
297.25,1.338694812
297.5,1.341524552
297.75,1.34435749
298,1.347193632
298.25,1.160734996
298.5,1.16242923
298.75,1.164124894
299,1.165821987
299.25,0.787921211
299.5,0.787921211
299.75,0.787921211
300,0.787921211
300.25,0.409122286
300.5,0.408225568
300.75,0.407330278
301,0.406436415
301.25,-0.108572576
301.5,-0.109066039
301.75,-0.109553437
302,-0.110034785
302.25,-0.491101659
302.5,-0.490204622
302.75,-0.489292262
303,-0.488364641
303.25,-0.736078673
303.5,-0.7335081
303.75,-0.73091402
304,-0.728296555
304.25,-1.331195992
304.5,-1.322051582
304.75,-1.312855648
305,-1.3036086
305.25,-1.294310848
305.5,-1.2849628
305.75,-1.275564867
306,-1.266117458
306.25,-0.692196721
306.5,-0.689264611
306.75,-0.686310937
307,-0.683335819
307.25,-0.126198044
307.5,-0.126404733
307.75,-0.126606122
308,-0.126802226
308.25,0.296847627
308.5,0.296137116
308.75,0.295427836
309,0.294719783
309.25,-0.017967132
309.5,-0.01838336
309.75,-0.018796245
310,-0.019205797
310.25,-0.127836185
310.5,-0.127996753
310.75,-0.128152154
311,-0.128302404
311.25,-0.341745061
311.5,-0.340980521
311.75,-0.340205998
312,-0.339421532
312.25,-0.755907936
312.5,-0.751625611
312.75,-0.74731916
313,-0.742988744
313.25,-1.041116568
313.5,-1.032663789
313.75,-1.024173118
314,-1.015644889
314.25,-1.20037878
314.5,-1.18835286
314.75,-1.176279313
315,-1.164158636
315.25,-0.967458302
315.5,-0.958691543
315.75,-0.949889746
316,-0.941053244
316.25,-0.843545548
316.5,-0.836168005
316.75,-0.828761359
317,-0.821325875
317.25,-1.153346037
